"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own bicycle
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Not at all";"590 / 2,035";"29%";"471 / 2,035";"23%";"813 / 2,036";"40%";"1,289 / 5,532";"23%";"689 / 2,031";"34%";"399 / 2,036";"20%";"860 / 2,029";"42%";"503 / 2,033";"25%";"488 / 1,463";"33%"
""
""
"2022 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,034 / 2,034";"100%";"2,036 / 2,036";"100%";"6,029 / 6,029";"100%";"2,030 / 2,030";"100%";"2,033 / 2,033";"100%";"2,031 / 2,031";"100%";"2,033 / 2,033";"100%";"1,083 / 1,083";"100%"
"(Almost) daily";"196 / 2,035";"10%";"238 / 2,034";"12%";"124 / 2,036";"6%";"812 / 6,029";"13%";"171 / 2,030";"8%";"249 / 2,033";"12%";"142 / 2,031";"7%";"222 / 2,033";"11%";"109 / 1,083";"10%"
"2-5 times per week";"326 / 2,035";"16%";"397 / 2,034";"20%";"284 / 2,036";"14%";"1,294 / 6,029";"21%";"352 / 2,030";"17%";"461 / 2,033";"23%";"323 / 2,031";"16%";"359 / 2,033";"18%";"136 / 1,083";"13%"
"1-4 times per month";"418 / 2,035";"21%";"362 / 2,034";"18%";"400 / 2,036";"20%";"1,293 / 6,029";"21%";"419 / 2,030";"21%";"476 / 2,033";"23%";"352 / 2,031";"17%";"340 / 2,033";"17%";"219 / 1,083";"20%"
"Every 2-3 months";"197 / 2,035";"10%";"172 / 2,034";"8%";"184 / 2,036";"9%";"461 / 6,029";"8%";"181 / 2,030";"9%";"204 / 2,033";"10%";"122 / 2,031";"6%";"191 / 2,033";"9%";"94 / 1,083";"9%"
