"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own / household car
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
""
"2022 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,034 / 2,034";"100%";"2,036 / 2,036";"100%";"6,029 / 6,029";"100%";"2,030 / 2,030";"100%";"2,033 / 2,033";"100%";"2,031 / 2,031";"100%";"2,033 / 2,033";"100%";"1,083 / 1,083";"100%"
"(Almost) daily";"894 / 2,035";"44%";"917 / 2,034";"45%";"956 / 2,036";"47%";"2,695 / 6,029";"45%";"1,182 / 2,030";"58%";"949 / 2,033";"47%";"1,004 / 2,031";"49%";"755 / 2,033";"37%";"413 / 1,083";"38%"
"2-5 times per week";"532 / 2,035";"26%";"529 / 2,034";"26%";"538 / 2,036";"26%";"1,589 / 6,029";"26%";"490 / 2,030";"24%";"465 / 2,033";"23%";"502 / 2,031";"25%";"550 / 2,033";"27%";"273 / 1,083";"25%"
"1-4 times per month";"210 / 2,035";"10%";"144 / 2,034";"7%";"217 / 2,036";"11%";"473 / 6,029";"8%";"164 / 2,030";"8%";"204 / 2,033";"10%";"231 / 2,031";"11%";"189 / 2,033";"9%";"143 / 1,083";"13%"
"Every 2-3 months";"35 / 2,035";"2%";"36 / 2,034";"2%";"56 / 2,036";"3%";"149 / 6,029";"2%";"43 / 2,030";"2%";"57 / 2,033";"3%";"40 / 2,031";"2%";"64 / 2,033";"3%";"33 / 1,083";"3%"
"Less often";"33 / 2,035";"2%";"39 / 2,034";"2%";"71 / 2,036";"3%";"92 / 6,029";"2%";"31 / 2,030";"2%";"33 / 2,033";"2%";"42 / 2,031";"2%";"65 / 2,033";"3%";"20 / 1,083";"2%"
"Not at all";"331 / 2,035";"16%";"369 / 2,034";"18%";"198 / 2,036";"10%";"1,031 / 6,029";"17%";"120 / 2,030";"6%";"325 / 2,033";"16%";"212 / 2,031";"10%";"410 / 2,033";"20%";"201 / 1,083";"19%"
""
""
"2023 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
